"","rownb","Subject","Group","Condition","VideoTrial","VideoName","Target","Match","NbMatches","Checked_KS","Comment_KS","Comment_GMM"
"2360",2361,"NS_160","NS","Control",16,"pge_tabgro","Popi mete una mesa a una cueva","mete:meter_V",1,"","",""
"2788",2789,"NS_173","NS","Path",15,"pgt_panrou","Popi arrastra una cesta con manzanas por encima de un río","arrastra:arrastrar_V",1,"","",""
"2369",2370,"NS_160","NS","Control",25,"pgt_panrou","Popi mueve una cesta de manzanas de un lado al otro","mueve:mover_V%de un lado al otro:de-un-lado-al-otro_PP",2,"","",""
"1523",1524,"47","L2","Manner",4,"trm_voidun","Popi sube a una duna con un carro de juguete","sube:subir_V",1,"","",""
"3399",3400,"NS_191","NS","Manner",32,"tre_cadmai","Popi arrastra un carrito de la compras dentro de una casa","arrastra:arrastrar_V%dentro:(a)dentro_AdvP",2,"","",""
"1937",1938,"59","L2","Control",22,"trt_pourou","Popi ha cruzado una carretera con un coche de niño","ha cruzado:cruzar_V",1,"","",""
"369",370,"12","L2","Control",5,"pre_pnemai","Popi entra en el edificio con una rueda de un coche rodando delante ","entra en:entrar_V%delante:delante_AdvP",2,"","",""
"823",824,"25","L2","Control",30,"pgm_paqdun","Popi ha subido un regalo grande por una cuesta","ha subido:subir_V",1,"","",""
"1968",1969,"60","L2","Manner",20,"tge_chamai","Popi ha arrastrado una silla de plástico y ha entrado en el garaje","ha arrastrado:arrastrar_V%ha entrado en:entrar_V",2,"","",""
"2190",2191,"NS_155","NS","Control",11,"trt_pourou","Popi arrastra un carrito de bebé cruzando una carretera","arrastra:arrastrar_V%cruzando:cruzando_Ger",2,"","",""
"102",103,"4","L2","Control",2,"tgm_sactoi","Popi ha traído la saca de algo para arriba de la casa","traído:traer_V%para arriba:PREP-arriba_PP",2,"","",""
"3708",3709,"NS_201","NS","Control",11,"pgm_paqdun","Popi ha empujado un regalo por encima de una duna","ha empujado:empujar_V%por encima:encima_PP",2,"","",""
"2115",2116,"NS_153","NS","Control",2,"trm_voidun","Popi ha estado subiendo la cuesta de arena con un coche","ha estado subiendo:subir_V%subiendo:subiendo_Ger",2,"","",""
"2386",2387,"NS_161","NS","Path",9,"tge_chagro","Popi lleva una silla a una cueva","lleva:llevar_V",1,"","",""
"2413",2414,"NS_162","NS","Path",3,"tre_cadgro","Popi tira de un carrito y entra en una cueva","entra en:entrar_V%tira de:tirar-de_V",2,"","",""
"994",995,"31","L2","Control",3,"prm_boutoi","Popi tiene una inflante hasta la cima del techo de una casa del campo","hasta la cima:PREP-la-cima_PP",1,"","",""
"97",98,"3","L2","Path",30,"pgm_paqdun","está subiendo un paquete","está subiendo:subir_V",1,"","",""
"2239",2240,"NS_156","NS","Control",27,"trm_voitoi","Popi empuja un gran coche de juguete verticalmente por el tejado de la casa","empuja:empujar_V%verticalmente:verticalmente_AdvP",2,"","",""
"709",710,"22","L2","Path",15,"prt_rourou","Popi cruza el camino con una rueda grande de un carro","cruza:cruzar_V",1,"","",""
"205",206,"7","L2","Control",6,"tgt_cherue","Popi ha una juego de caballo","",0,"","",""
"3419",3420,"NS_192","NS","Manner",19,"tge_chagro","Popi ha metido una silla en una cueva","ha metido:meter_V",1,"","",""
"3560",3561,"NS_196","NS","Manner",28,"pge_tabgro","Popi arrastra una mesa hasta dentro de una cueva","arrastra:arrastrar_V%hasta dentro:PREP-(a)dentro_PP",2,"","",""
"1450",1451,"44","L2","Control",30,"pgt_panrou","Popi llevó una cesta de manzanas al otro lado del camino","llevó:llevar_V%al otro lado del camino:PREP-otro-lado_PP",2,"","",""
"2690",2691,"NS_170","NS","Control",16,"pge_tabmai","Popi ha metido la mesa a la puerta","ha metido:meter_V",1,"","",""
"2730",2731,"NS_171","NS","Path",23,"tgt_cherou","Popi cruza una calle arrastrando un caballito de madera","cruza:cruzar_V%arrastrando:arrastrando_Ger",2,"","",""
"1499",1500,"46","L2","Path",13,"tgm_sacdun","Popi sube el cerro de arena con un saco","sube:subir_V",1,"","",""
"2340",2341,"NS_159","NS","Path",29,"prm_boudun","Popi empuja un flotador de delfines por una duna de la playa","empuja:empujar_V",1,"","",""
"1595",1596,"49","L2","Manner",10,"tre_cadmai","Popi lleva una bolsa de compras dentro de una casa","lleva:llevar_V%dentro:(a)dentro_AdvP",2,"","",""
"1819",1820,"56","L2","Control",3,"tgm_sacdun","Popi ha subido el saco de una cuesta de arena al lado del mar","ha subido:subir_V",1,"","",""
"3669",3670,"NS_200","NS","Manner",5,"tgm_sacdun","Popi arrastra un saco por una cuesta","arrastra:arrastrar_V",1,"","",""
"645",646,"20","L2","Manner",17,"prm_boudun","Popi rueda ese inflable hasta el pico de la duna de arena","rueda:rodar_V",1,"","",""
"2621",2622,"NS_168","NS","Path",13,"tgd_malcol","Popi arrastra cuesta abajo un baúl gris en un prado","arrastra:arrastrar_V%abajo:abajo_AdvP",2,"","",""
"2949",2950,"NS_178","NS","Manner",11,"trm_voitoi","Popi sube un coche de juguete por el tejado de una casa","sube:subir_V",1,"","",""
"1058",1059,"33","L2","Control",1,"trd_brocol","Popi mueve un cartera o algo","mueve:mover_V",1,"","",""
"500",501,"16","L2","Manner",4,"pre_pnemai","Popi está dando vuelta una rueda de un tractor entrando a un establo","está dando vuelta:dar-vuelta_VPhrase%entrando a:entrando_Ger",2,"","",""
"973",974,"30","L2","Path",15,"trm_voitoi","Popi sube el techo con un carrito de juguete","sube:subir_V",1,"","",""
"65",66,"2","L2","Control",31,"pre_pnegro","entró una cueva con rueda","entró:entrar_V",1,"","",""
"420",421,"13","L2","Path",23,"tgm_sacdun","Popi subió una loma de arena con una jaba","subió:subir_V",1,"","",""
"2877",2878,"NS_176","NS","Path",5,"pgm_paqtoi","Popi sube un tejarito empujando un regalo","sube:subir_V%empujando:empujando_Ger",2,"","",""
"3549",3550,"NS_196","NS","Manner",17,"tre_cadgro","Popi mete la cesta con ruedas por la cueva","mete:meter_V",1,"","",""
"2300",2301,"NS_158","NS","Control",22,"trt_pourou","pasa por encima de un río con un carrito de bebé","pasa:pasar_V",1,"","",""
"2250",2251,"NS_157","NS","Manner",5,"prd_balnei","Popi desliza su pelota ladera abajo","desliza:deslizar_V%abajo:abajo_AdvP",2,"","",""
"3700",3701,"NS_201","NS","Control",3,"trt_pourue","Popi ha cruzado la calle de una ciudad con un carrito","ha cruzado:cruzar_V",1,"","",""
"506",507,"16","L2","Manner",10,"trm_voitoi","Popi está subiendo por el techo de una casa y lleva consigo un coche","lleva:llevar_V%está subiendo:subir_V",2,"","",""
"2610",2611,"NS_168","NS","Path",2,"prt_rourue","Popi transporta una rueda de carreta","transporta:transportar_V",1,"","",""
"1734",1735,"53","L2","Path",17,"trm_voidun","Popi sube una colina con un juguete de carro","sube:subir_V",1,"","",""
"3403",3404,"NS_192","NS","Manner",3,"tgd_malnei","Popi arrastra un baúl por una pendiente","arrastra:arrastrar_V",1,"","",""
"4",5,"1","L2","Manner",3,"trd_bronei","Popi ha bajado una colina nevada","ha bajado:bajar_V",1,"","",""
"1347",1348,"41","L2","Path",26,"pre_pnegro","Popi entró la rueda en la cueva","entró:entrar_V",1,"","",""
"1242",1243,"38","L2","Path",20,"prt_rourue","el chico cruza una calle con una rueda","cruza:cruzar_V",1,"","",""
"3213",3214,"NS_186","NS","Control",11,"tgd_malcol","Popi baja el baúl por la colina","baja:bajar_V",1,"","",""
"2338",2339,"NS_159","NS","Path",27,"trt_pourue","Popi arrastra el cochecito de un bebé cruzando una carretera","arrastra:arrastrar_V%cruzando:cruzando_Ger",2,"","",""
"1021",1022,"31","L2","Control",30,"pgd_valcol","Popi baja de la colina con una maleta dejándola al lado de un árbol","baja:bajar_V%dejándola:dejando_Ger",2,"","",""
"186",187,"6","L2","Path",20,"pgt_panrue","Popi cruza la calle con una cesta de manzanas","cruza:cruzar_V",1,"","",""
"1898",1899,"58","L2","Manner",16,"pgm_paqtoi","Popi empuja un paquete por el tejado","empuja:empujar_V",1,"","",""
"2548",2549,"NS_166","NS","Path",6,"pgd_valcol","Popi arrastra una maleta ladera abajo","arrastra:arrastrar_V%abajo:abajo_AdvP",2,"","",""
"1471",1472,"45","L2","Manner",18,"tge_chagro","el muchacho tira una silla entrando en una cueva","tira:tirar-de_V%entrando en:entrando_Ger",2,"","",""
"672",673,"21","L2","Path",11,"pge_tabgro","Popi tiene una mesa y lo está entrando en una cueva","está entrando en:entrar_V",1,"","",""
"401",402,"13","L2","Path",4,"prt_rourou","Popi está moviendo una rueda al otro lado de la calle","está moviendo:mover_V%al otro lado de la calle:PREP-otro-lado_PP",2,"","",""
"101",102,"4","L2","Control",1,"prd_balcol","Popi <ha movado> [=ha movido] la pelota inflable desde derecha hasta la izquierda","ha movido:mover_V",1,"","",""
"229",230,"7","L2","Control",30,"tre_cadgro","Popi ha traído la carri de compra dentro la cueva","traído:traer_V%dentro:(a)dentro_AdvP",2,"","",""
"2349",2350,"NS_160","NS","Control",5,"prm_boutoi","Popi sube un flotador al tejado de una casa","sube:subir_V",1,"","",""
"2202",2203,"NS_155","NS","Control",23,"pgm_paqtoi","Popi sube el tejado de la casa con un paquete de regalo","sube:subir_V",1,"","",""
"3885",3886,"NS_207","NS","Path",23,"tgd_malcol","Popi baja un baúl por la ladera","baja:bajar_V",1,"","",""
"329",330,"10","L2","Manner",31,"pgd_valcol","Popi empuja la maleta para abajo del cierro","empuja:empujar_V%para abajo:PREP-abajo_PP",2,"","",""
"2980",2981,"NS_179","NS","Manner",9,"tge_chamai","Popi guarda su silla en una granja","guarda:guardar_V",1,"","",""
"379",380,"12","L2","Control",15,"tgm_sactoi","Popi subió un tejado con un saco","subió:subir_V",1,"","",""
"1507",1508,"46","L2","Path",21,"pge_tabgro","Popi entra el cuave con una mesa","entra:entrar_V",1,"","",""
"2543",2544,"NS_166","NS","Path",1,"prd_balnei","Popi arrastra un balón de playa ladera abajo en una montaña nevada","arrastra:arrastrar_V%abajo:abajo_AdvP",2,"","",""
"2342",2343,"NS_159","NS","Path",31,"prd_balcol","Popi baja la colina de la montaña empujando una bola de plástico","baja:bajar_V%empujando:empujando_Ger",2,"","",""
"3534",3535,"NS_196","NS","Manner",2,"prd_balcol","Popi arrastra una pelota por una cuesta","arrastra:arrastrar_V",1,"","",""
"563",564,"18","L2","Control",1,"trd_brocol","Popi está bajando una cuesta","está bajando:bajar_V",1,"","",""
"3210",3211,"NS_186","NS","Control",8,"pre_pnemai","Popi mete la rueda en el garaje en la puerta roja","mete:meter_V",1,"","",""
"283",284,"9","L2","Path",18,"pgm_paqtoi","un hombre sube el techo con un regalo","sube:subir_V",1,"","",""
"1437",1438,"44","L2","Control",17,"tgm_sacdun","Popi está llevando el saco pesado y lo está arrastrando encima de la duna de arena","está arrastrando:arrastrar_V%está llevando:llevar_V%encima:encima_PP",3,"","",""
"3481",3482,"NS_194","NS","Manner",15,"trt_pourou","Popi tira de un carrito de bebé cruzando la carretera","tira de:tirar-de_V%cruzando:cruzando_Ger",2,"","",""
"2751",2752,"NS_172","NS","Manner",11,"trm_voidun","Popi arrastra un coche de juguete por la playa ","arrastra:arrastrar_V",1,"","",""
"3609",3610,"NS_198","NS","Control",11,"tgm_sactoi","Popi sube al tejado de la casa arrastrando un saco","sube:subir_V%arrastrando:arrastrando_Ger",2,"","",""
"2235",2236,"NS_156","NS","Control",23,"pgm_paqtoi","Popi arrastra muy verticalmente un gran regalo por el tejado de la casa","arrastra:arrastrar_V%verticalmente:verticalmente_AdvP",2,"","",""
"2458",2459,"NS_163","NS","Path",15,"pge_tabgro","Popi entra una mesa en una cueva","entra:entrar_V",1,"","",""
"608",609,"19","L2","Control",13,"trd_bronei","caminó por la colina nevada con la cosa","caminó:caminar_V",1,"","",""
"1247",1248,"38","L2","Path",25,"pgd_valnei","el hombre bajó una montaña nevada con una maleta","bajó:bajar_V",1,"","",""
"1003",1004,"31","L2","Control",12,"tgd_malnei","él está en la selva en invierno y baja sobre la nieve con una caja fuerte","baja:bajar_V",1,"","",""
"914",915,"28","L2","Manner",22,"tre_cadgro","Popi se fue a comprar en la cueva","",0,"","",""
"575",576,"18","L2","Control",13,"trm_voidun","Popi está subiendo con un coche de juguete","está subiendo:subir_V",1,"","",""
"1498",1499,"46","L2","Path",12,"trd_bronei","Popi baja el cerro nevada con un carríl de trabajo","baja:bajar_V",1,"","",""
"3768",3769,"NS_204","NS","Manner",5,"pre_pnegro","Popi rueda una rueda hacia la cueva","rueda:rodar_V%hacia la cueva:hacia/hasta-BOUNDARY_PP",2,"","",""
"3611",3612,"NS_198","NS","Control",13,"pge_tabmai","Popi arrastra dentro de una casa una mesa de madera","arrastra:arrastrar_V%dentro:(a)dentro_AdvP",2,"","",""
"490",491,"15","L2","Manner",27,"prd_balcol","Popi rueda un balón inflable desde una colina","rueda:rodar_V",1,"","",""
"743",744,"23","L2","Manner",16,"tgd_malcol","Popi está llevando un baúl bajando el cerro","está llevando:llevar_V%bajando:bajando_Ger",2,"","",""
"3287",3288,"NS_188","NS","Control",19,"pge_tabmai","Popi ha empujado arrastrando una mesa hasta meterla en la granja por la puerta","ha empujado:empujar_V%arrastrando:arrastrando_Ger%hasta meterla:meter_Inf",3,"","",""
"242",243,"8","L2","Manner",10,"pgd_valnei","Popi empuja la maleta sobre un sitio nevada","empuja:empujar_V",1,"","",""
"3620",3621,"NS_198","NS","Control",22,"tgd_malcol","Popi baja una colina tirando de un baúl","baja:bajar_V%tirando de:tirando-de_Ger",2,"","",""
"804",805,"25","L2","Control",11,"tgt_cherue","Popi ha arrastrado un caballo de juguete","ha arrastrado:arrastrar_V",1,"","",""
"3401",3402,"NS_192","NS","Manner",1,"pgd_valnei","Popi empuja una maleta por la pendiente","empuja:empujar_V",1,"","",""
"774",775,"24","L2","Path",14,"tre_cadgro","Pepe entra en una cueva con una carreta de compras","entra en:entrar_V",1,"","",""
"2735",2736,"NS_171","NS","Path",28,"pgt_panrue","Popi cruza una calle empujando una cesta de manzanas","cruza:cruzar_V%empujando:empujando_Ger",2,"","",""
"3732",3733,"NS_203","NS","Control",2,"trd_bronei","Popi lleva una carretilla por la nieve","lleva:llevar_V",1,"","",""
"1617",1618,"49","L2","Manner",32,"prd_balnei","Popi lleva un juguete en una parte con mucha nieve","lleva:llevar_V",1,"","",""
"2002",2003,"NS_1","NS","Control",21,"pgt_panrue","ha cruzado la calle de un pueblo empujando una cesta llena de manzanas","ha cruzado:cruzar_V%empujando:empujando_Ger",2,"","",""
"3131",3132,"NS_183","NS","Manner",28,"pge_tabgro","Popi entra en una cueva arrastrando una mesa","entra en:entrar_V%arrastrando:arrastrando_Ger",2,"","",""
"2381",2382,"NS_161","NS","Path",4,"prd_balnei","Popi baja una pelota por una cuesta de nieve","baja:bajar_V",1,"","",""
"3298",3299,"NS_188","NS","Control",30,"trt_pourue","Popi ha cruzado la carretera del pueblo arranstrando el carrito de bebé","ha cruzado:cruzar_V",1,"","",""
"293",294,"9","L2","Path",28,"pgd_valcol","el hombre baja una montaña con una maleta","baja:bajar_V",1,"","",""
"3006",3007,"NS_180","NS","Path",2,"tgm_sacdun","Popi sube un saco arriba de una duna","sube:subir_V%arriba:arriba_AdvP",2,"","",""
"2902",2903,"NS_176","NS","Path",30,"prt_rourou","Popi cruza la calle con una rueda","cruza:cruzar_V",1,"","",""
"717",718,"22","L2","Path",23,"trd_brocol","Popi baja la colina con el carrito","baja:bajar_V",1,"","",""
"1689",1690,"52","L2","Manner",5,"trd_bronei","el Popi se baja una colina nevada","baja:bajar_V",1,"","",""
"2082",2083,"NS_152","NS","Control",2,"tge_chagro","Popi está arrastrando una silla","está arrastrando:arrastrar_V",1,"","",""
"2679",2680,"NS_170","NS","Control",5,"trt_pourou","Popi ha llevado un carrito cruzando la cerra","ha llevado:llevar_V%cruzando:cruzando_Ger",2,"","",""
"1518",1519,"46","L2","Path",32,"pre_pnemai","Popi entra la casa en el campo con un neumático de carros","entra:entrar_V",1,"","",""
"376",377,"12","L2","Control",12,"trt_pourue","Popi cruzó la calle con un cochecito de niño","cruzó:cruzar_V",1,"","",""
"2433",2434,"NS_162","NS","Path",23,"pre_pnegro","Popi entra en una cueva empujando una rueda de coche","entra en:entrar_V%empujando:empujando_Ger",2,"","",""
"3157",3158,"NS_184","NS","Path",21,"trd_brocol","Popi baja una carretilla de la colina","baja:bajar_V",1,"","",""
"3311",3312,"NS_189","NS","Manner",10,"prd_balcol","Popi empuja una pelota gigante de colores ladera abajo por una ladera de césped","empuja:empujar_V%abajo:abajo_AdvP",2,"","",""
"2293",2294,"NS_158","NS","Control",15,"tgd_malcol","baja una montaña con un baúl grande","baja:bajar_V",1,"","",""
"1503",1504,"46","L2","Path",17,"pgd_valcol","Popi baja de un cerro con un maleta","baja:bajar_V",1,"","",""
"3319",3320,"NS_189","NS","Manner",18,"pgm_paqdun","Popi sube arrrastrando una duna de Tarifa","sube:subir_V",1,"","",""
"3152",3153,"NS_184","NS","Path",16,"trt_pourou","Popi atraviesa la carretera con un carro","atraviesa:atravesar_V",1,"","",""
"114",115,"4","L2","Control",14,"tgm_sacdun","Popi ha traído el saco sobre la arena","traído:traer_V",1,"","",""
"2365",2366,"NS_160","NS","Control",21,"tre_cadgro","Popi mete un carrito de la compra en la cueva","mete:meter_V",1,"","",""
"2022",2023,"NS_150","NS","Manner",8,"pgt_panrou","Popi empuja una cesta con frutas","empuja:empujar_V",1,"","",""
"3711",3712,"NS_201","NS","Control",14,"tre_cadmai","Popi ha entrado al establo a cuestas de una especie de carrito","ha entrado a:entrar_V%a cuestas:a-cuestas_AdvP",2,"","",""
"1136",1137,"35","L2","Manner",13,"tre_cadgro","Popi tira de un carro de compras por el bosque y entra en un cueva","entra en:entrar_V%tira de:tirar-de_V",2,"","",""
"1607",1608,"49","L2","Manner",22,"prd_balcol","Popi mueve un juguete cerca de un bosque","mueve:mover_V",1,"","",""
"633",634,"20","L2","Manner",5,"pre_pnegro","Popi mete la rueda dentro de la cueva","mete:meter_V%dentro:(a)dentro_AdvP",2,"","",""
"1033",1034,"32","L2","Path",9,"tgd_malcol","Popi bajó la colina con una caja","bajó:bajar_V",1,"","",""
"3729",3730,"NS_201","NS","Control",32,"pgm_paqdun","ahora lo que sube por la llanura de la playa Popi es el regalo de color morado ","sube:subir_V",1,"","",""
"571",572,"18","L2","Control",9,"trt_pourue","Popi está cruzando la carretera con un carrito de bebé","está cruzando:cruzar_V",1,"","",""
"2572",2573,"NS_166","NS","Path",30,"pge_tabmai","Popi entra en un cobertizo arrastrando una mesita de madera","entra en:entrar_V%arrastrando:arrastrando_Ger",2,"","",""
"2",3,"1","L2","Manner",1,"trd_brocol","Popi ha bajado por la colina","ha bajado:bajar_V",1,"","",""
"933",934,"29","L2","Path",8,"pre_pnegro","el hombre entra en una cueva con una rueda de coche","entra en:entrar_V",1,"","",""
"501",502,"16","L2","Manner",5,"tgt_cherou","Popi tiene un juguete de caballo que lo está llevando al otro lado","está llevando:llevar_V%al otro lado:PREP-otro-lado_PP",2,"","",""
"3917",3918,"NS_208","NS","Manner",22,"trm_voidun","Popi arrastra un coche por una duna","arrastra:arrastrar_V",1,"","",""
"668",669,"21","L2","Path",7,"tgt_cherou","Popi tiene un juguete de caballo y está cruzando una calle","está cruzando:cruzar_V",1,"","",""
"2879",2880,"NS_176","NS","Path",7,"pgd_valnei","Popi baja un pendiente con una maleta","baja:bajar_V",1,"","",""
"3143",3144,"NS_184","NS","Path",7,"prm_boutoi","Popi ha subido un flotador por un tejado","ha subido:subir_V",1,"","",""
"3792",3793,"NS_204","NS","Manner",29,"tgm_sacdun","Popi arrastra un saco por las dunas de la playa","arrastra:arrastrar_V",1,"","",""
"3392",3393,"NS_191","NS","Manner",25,"tge_chamai","Popi arrastra una silla hasta dentro de una casa","arrastra:arrastrar_V%hasta dentro:PREP-(a)dentro_PP",2,"","",""
"2860",2861,"NS_175","NS","Control",21,"pre_pnemai","Popi se introduce en una casa arrastrando un neumático","introduce:introducir_V%arrastrando:arrastrando_Ger",2,"","",""
"2184",2185,"NS_155","NS","Control",5,"prd_balnei","Popi rueda un balón de playa en una montaña con nieve","rueda:rodar_V",1,"","",""
"2322",2323,"NS_159","NS","Path",11,"trt_pourou","Popi arrastra un cochecito de bebé por un camino","arrastra:arrastrar_V",1,"","",""
"2704",2705,"NS_170","NS","Control",30,"tgt_cherou","Popi ha llevado el juguete a la otra acera","ha llevado:llevar_V%a la otra acera:de-una-acera-a-otra_PP",2,"","",""
"1858",1859,"57","L2","Path",9,"prm_boudun","el Popi sube en una colina de arena con un flotador","sube:subir_V",1,"","",""
"1786",1787,"55","L2","Manner",3,"pre_pnegro","Popi tira una rueda a la cueva","tira:tirar-de_V",1,"","",""
"126",127,"4","L2","Control",26,"pgd_valnei","Popi ha bajado la maleta bajo de la nieve","ha bajado:bajar_V",1,"","",""
"1102",1103,"34","L2","Manner",12,"prm_boutoi","él empujando un flotador arriba al techo de una casa","arriba:arriba_AdvP%empujando:empujando_Ger",2,"","",""
"77",78,"3","L2","Path",10,"trd_bronei","está bajando con un no sé cómo se llama carrito.","está bajando:bajar_V",1,"","",""
"1909",1910,"58","L2","Manner",27,"trt_pourou","Popi tira de la cama con ruedas para bebés por un camino","tira de:tirar-de_V",1,"","",""
"1361",1362,"42","L2","Path",7,"pgm_paqtoi","Popi sube por el techo de una casa empujando un paquete","sube:subir_V%empujando:empujando_Ger",2,"","",""
"2686",2687,"NS_170","NS","Control",12,"tre_cadgro","Popi ha llevado la carretilla hasta la cueva","ha llevado:llevar_V%hasta la cueva:hacia/hasta-BOUNDARY_PP",2,"","",""
"2891",2892,"NS_176","NS","Path",19,"prm_boutoi","Popi sube un tejado con un flotador","sube:subir_V",1,"","",""
"1907",1908,"58","L2","Manner",25,"tre_cadgro","Popi tira de un carrito de compras por una cueva","tira de:tirar-de_V",1,"","",""
"2045",2046,"NS_150","NS","Manner",31,"pgd_valcol","Popi arrastra una maleta por el campo","arrastra:arrastrar_V",1,"","",""
"2134",2135,"NS_153","NS","Control",21,"pre_pnegro","Popi ha entrado en la cueva arrastrando una rueda de un coche","ha entrado en:entrar_V%arrastrando:arrastrando_Ger",2,"","",""
"3084",3085,"NS_182","NS","Manner",14,"tgt_cherou","Popi arrastra un caballito de madera por el parque","arrastra:arrastrar_V",1,"","",""
"511",512,"16","L2","Manner",15,"trt_pourou","Popi arrastra un coche de bebé y está atravesando el camino","arrastra:arrastrar_V%está atravesando:atravesar_V",2,"","",""
"674",675,"21","L2","Path",13,"trd_brocol","Popi está bajando un tereno con una carreta amarillo ","está bajando:bajar_V",1,"","",""
"791",792,"24","L2","Path",31,"tge_chamai","Pepe entra una granja con una silla ","entra:entrar_V",1,"","",""
"3237",3238,"NS_187","NS","Control",2,"pge_tabgro","Popi empuja una mesa de una ladera en el bosque hacia el interior de una cueva","empuja:empujar_V%hacia el interior de una cueva:PREP-el-interior_PP",2,"","",""
"3344",3345,"NS_190","NS","Control",10,"prm_boutoi","Popi está arrastrando un flotador por el tejado de una casa","está arrastrando:arrastrar_V",1,"","",""
"2265",2266,"NS_157","NS","Manner",20,"tgm_sactoi","Popi sube el saco a lo alto del tejado","sube:subir_V%a lo alto:PREP-lo-alto_PP",2,"","",""
"2858",2859,"NS_175","NS","Control",19,"prm_boutoi","Popi sube a lo alto de un tejado arrastrando un flotador naranja","sube:subir_V%a lo alto:PREP-lo-alto_PP%arrastrando:arrastrando_Ger",3,"","",""
"970",971,"30","L2","Path",12,"pre_pnegro","Popi entra la cueva con una rueda de coche","entra:entrar_V",1,"","",""
"669",670,"21","L2","Path",8,"pgm_paqdun","Popi está subiendo con un paquete en la mano","está subiendo:subir_V",1,"","",""
"29",30,"1","L2","Manner",28,"pge_tabmai","Popi ha empujado la mesa","ha empujado:empujar_V",1,"","",""
"3411",3412,"NS_192","NS","Manner",11,"tgm_sacdun","Popi ha subido un saco por una duna","ha subido:subir_V",1,"","",""
"2448",2449,"NS_163","NS","Path",5,"tre_cadgro","Popi entra en una cueva con un carro","entra en:entrar_V",1,"","",""
"3521",3522,"NS_195","NS","Path",22,"tgt_cherue","Popi cruza la calle arrastrando el caballito de madera","cruza:cruzar_V%arrastrando:arrastrando_Ger",2,"","",""
"124",125,"4","L2","Control",24,"tre_cadmai","Popi ha traído la caja de compras dentro la casa","traído:traer_V%dentro:(a)dentro_AdvP",2,"","",""
"1283",1284,"39","L2","Manner",28,"pgt_panrue","Popi está cruzando la calle con una cesta de manzanas","está cruzando:cruzar_V",1,"","",""
"2108",2109,"NS_152","NS","Control",28,"tgt_cherue","Popi cruza una carretera arrastrando un caballito de madera","cruza:cruzar_V%arrastrando:arrastrando_Ger",2,"","",""
"2657",2658,"NS_169","NS","Path",16,"tgt_cherue","Popi cruza la calle con un caballo de madera","cruza:cruzar_V",1,"","",""
"3023",3024,"NS_180","NS","Path",19,"tgd_malnei","Popi bajó un montículo arrastrando un arcón","bajó:bajar_V%arrastrando:arrastrando_Ger",2,"","",""
"1571",1572,"48","L2","Control",19,"trd_bronei","Popi baja de una cuesta de nieve con una carreta","baja:bajar_V",1,"","",""
"8",9,"1","L2","Manner",7,"tgd_malcol","Popi ha arrastrado un baúl por la colina","ha arrastrado:arrastrar_V",1,"","",""
"3794",3795,"NS_204","NS","Manner",31,"tgd_malcol","Popi baja una cuesta con un arcón","baja:bajar_V",1,"","",""
"3925",3926,"NS_208","NS","Manner",30,"tge_chamai","Popi arrastra una silla verde a un garaje","arrastra:arrastrar_V",1,"","",""
"1418",1419,"43","L2","Control",31,"prt_rourou","Popi ha llevado una rueda hacia el otro lado de la calle","ha llevado:llevar_V%hacia el otro lado de la calle:PREP-otro-lado_PP",2,"","",""
"1198",1199,"37","L2","Control",9,"pgd_valnei","está empujando la maleta bajo el cerro","está empujando:empujar_V",1,"","",""
"814",815,"25","L2","Control",21,"tgm_sacdun","Popi ha subido por una cuesta llevando un saco","ha subido:subir_V%llevando:llevando_Ger",2,"","",""
"3493",3494,"NS_194","NS","Manner",27,"tgm_sactoi","Popi arrastra un saco por un tejado","arrastra:arrastrar_V",1,"","",""
"879",880,"27","L2","Control",20,"trt_pourou","Popi cruza la calle con un carrito de bebé","cruza:cruzar_V",1,"","",""
"2919",2920,"NS_177","NS","Control",14,"trm_voitoi","Popi sube un coche de juguete por el tejado de la casa","sube:subir_V",1,"","",""
"3421",3422,"NS_192","NS","Manner",21,"prd_balcol","Popi ha empujado una pelota ladera abajo","ha empujado:empujar_V%abajo:abajo_AdvP",2,"","",""
"3415",3416,"NS_192","NS","Manner",15,"tgd_malcol","Popi ha bajado un baúl por un campo","ha bajado:bajar_V",1,"","",""
"2520",2521,"NS_165","NS","Manner",11,"pgt_panrou","Popi arrastra una cesta llena de manzanas y cruza con ella una carretera","arrastra:arrastrar_V%cruza:cruzar_V",2,"","",""
"1794",1795,"55","L2","Manner",11,"tgt_cherue","Popi arrastra un caballo de juguetes por la camino","arrastra:arrastrar_V",1,"","",""
"3247",3248,"NS_187","NS","Control",12,"pgm_paqdun","Popi empuja un gran regalo por la playa encima de la duna","empuja:empujar_V%encima:encima_PP",2,"","",""
"2742",2743,"NS_172","NS","Manner",2,"pge_tabgro","Popi mete una mesa en una cueva","mete:meter_V",1,"","",""
"1514",1515,"46","L2","Path",28,"tge_chagro","Popi entra el cuave con una silla de jardín","entra:entrar_V",1,"","",""
"3191",3192,"NS_185","NS","Manner",22,"pgm_paqdun","Popi sube un montículo en la playa con un regalo","sube:subir_V",1,"","",""
"2943",2944,"NS_178","NS","Manner",5,"tge_chamai","Popi arrastra una silla hacia una casa","arrastra:arrastrar_V%hacia una casa:hacia/hasta-BOUNDARY_PP",2,"","",""
